RTA,Year,Somme,Nombre de donateurs
G7N,2020,1660.0,19
G7N,2021,310.0,6
G7N,2022,2560.0,23
G7N,2023,625.0,9
G7N,2024,1010.0,12
G7N,2025,825.0,10
G7N,2026,400.0,3
G7P,2019,370.0,6
G7P,2020,955.0,17
G7P,2021,295.0,4
G7P,2022,650.0,6
G7P,2023,405.0,6
G7P,2024,600.0,11
G7P,2025,720.0,9
G7P,2026,295.0,5
G7S,2019,5465.0,89
G7S,2020,9200.0,133
G7S,2021,2075.0,28
G7S,2022,5930.0,72
G7S,2023,2730.0,39
G7S,2024,3370.0,45
G7S,2025,2970.0,46
G7S,2026,990.0,14
G7T,2019,100.0,3
G7T,2020,150.0,4
G7T,2022,285.0,7
G7T,2023,145.0,4
G7T,2024,110.0,3
G7T,2025,175.0,5
G7X,2019,4175.0,88
G7X,2020,9605.0,154
G7X,2021,1845.0,31
G7X,2022,6065.0,61
G7X,2023,1880.0,29
G7X,2024,2150.0,33
G7X,2025,1490.0,23
G7X,2026,1305.0,17
G7Y,2019,70.0,3
G7Y,2020,100.0,1
G7Y,2022,20.0,1
G7Y,2023,20.0,1
G7Y,2024,266.64,3
G7Y,2025,466.64,6
G7Y,2026,200.0,1
G7Z,2019,350.0,4
G7Z,2020,300.0,6
G7Z,2021,100.0,1
G7Z,2022,490.0,5
G7Z,2023,210.0,4
G7Z,2024,100.0,1
G7Z,2025,175.0,3
G7Z,2026,200.0,1
G8A,2019,1545.0,33
G8A,2020,2810.0,44
G8A,2021,225.0,5
G8A,2022,1570.0,19
G8A,2023,415.0,7
G8A,2024,1195.0,17
G8A,2025,808.3199999999999,14
G8A,2026,308.32,6
G8B,2019,765.0,17
G8B,2020,2890.0,39
G8B,2021,1585.0,24
G8B,2022,8570.0,72
G8B,2023,2590.0,40
G8B,2024,2788.0,47
G8B,2025,3315.0,48
G8B,2026,895.0,16
G8C,2019,345.0,5
G8C,2020,420.0,7
G8C,2021,325.0,6
G8C,2022,1210.0,16
G8C,2023,460.0,11
G8C,2024,440.0,9
G8C,2025,450.0,11
G8C,2026,215.0,5
G8E,2019,100.0,1
G8E,2022,225.0,2
G8E,2024,300.0,5
G8E,2025,325.0,6
G8G,2019,10.0,1
G8G,2020,655.0,5
G8G,2021,110.0,3
G8G,2022,320.0,5
G8G,2023,65.0,2
G8G,2024,190.0,5
G8G,2025,150.0,5
G8G,2026,50.0,1
G8H,2019,565.0,7
G8H,2020,515.0,6
G8H,2021,435.0,8
G8H,2022,1085.0,12
G8H,2023,835.0,15
G8H,2024,990.0,15
G8H,2025,740.0,10
G8H,2026,425.0,4
G8J,2019,250.0,3
G8J,2020,515.0,6
G8J,2021,225.0,4
G8J,2022,590.0,8
G8J,2023,505.0,8
G8J,2024,1180.0,18
G8J,2025,930.0,14
G8J,2026,525.0,4
G8K,2019,495.0,9
G8K,2020,1020.0,16
G8K,2021,905.0,13
G8K,2022,4625.0,45
G8K,2023,1785.0,23
G8K,2024,1985.0,24
G8K,2025,1440.0,18
G8K,2026,1150.0,10
G8L,2019,984.96,18
G8L,2020,1209.98,20
G8L,2021,1368.32,21
G8L,2022,5954.96,54
G8L,2023,2096.64,34
G8L,2024,2415.0,36
G8L,2025,2040.0,30
G8L,2026,1000.0,8
G8M,2019,105.0,2
G8M,2020,155.0,4
G8M,2022,515.0,6
G8M,2023,225.0,3
G8M,2024,200.0,3
G8M,2025,275.0,3
G8M,2026,100.0,1
G8N,2019,70.0,2
G8N,2021,80.0,1
G8N,2022,400.0,3
G8N,2023,125.0,3
G8N,2024,130.0,2
G8N,2025,140.0,2
G8P,2019,520.0,9
G8P,2020,735.0,9
G8P,2021,245.0,4
G8P,2022,700.0,8
G8P,2023,612.0,10
G8P,2024,565.0,10
G8P,2025,625.0,8
G8P,2026,300.0,2
G8T,2019,2130.0,31
G8T,2020,2765.0,33
G8T,2021,1751.0,23
G8T,2022,5873.0,42
G8T,2023,2259.0,26
G8T,2024,2170.0,29
G8T,2025,2408.0,30
G8T,2026,1420.0,15
G8V,2019,595.0,8
G8V,2020,680.0,11
G8V,2021,705.0,9
G8V,2022,1600.0,13
G8V,2023,1080.0,13
G8V,2024,1025.0,12
G8V,2025,860.0,12
G8V,2026,630.0,5
G8W,2019,880.0,16
G8W,2020,855.0,13
G8W,2021,645.0,9
G8W,2022,2667.0,26
G8W,2023,1380.0,18
G8W,2024,1890.0,22
G8W,2025,1295.0,16
G8W,2026,480.0,5
G8Y,2019,3771.0,57
G8Y,2020,3652.0,59
G8Y,2021,3694.0,60
G8Y,2022,9226.0,79
G8Y,2023,4674.64,62
G8Y,2024,5349.96,74
G8Y,2025,5594.96,72
G8Y,2026,3779.32,32
G8Z,2019,2390.0,37
G8Z,2020,3415.0,46
G8Z,2021,2065.0,30
G8Z,2022,5255.0,43
G8Z,2023,2875.0,38
G8Z,2024,3490.0,49
G8Z,2025,2975.0,38
G8Z,2026,1125.0,10
G9A,2019,1630.0,29
G9A,2020,2685.0,34
G9A,2021,1130.0,18
G9A,2022,2900.0,26
G9A,2023,1870.0,26
G9A,2024,2535.0,39
G9A,2025,2455.0,33
G9A,2026,1650.0,15
G9B,2019,1560.0,23
G9B,2020,1905.0,24
G9B,2021,855.0,13
G9B,2022,4875.0,42
G9B,2023,1420.0,20
G9B,2024,2600.0,32
G9B,2025,2235.0,26
